,Listing Type,Property Type,Building Type,City,Locality,Area,Rent,Furnishing Status,Number of Rooms,Number of Bathroom,Covered Parking,View,Floor Number,Tower/Block,Additional Rooms,Security Deposit,Available From,Age of Property (Years),Unit No,Total Floor Count,Balcony,Open/Uncovered Parking,Deposit amount,crime,hospital
3006,Rent,Residential,Builder Floor,Bangalore,Jp Nagar Phase 1,2000 Sq.Ft. (Built-up Area),"35,000",Unfurnished,3,2,,Road View,1,,Pooja Room,Other,Immediately,10+,,2,Individual,1,300000,no,no
3007,Rent,Residential,Apartment,Bangalore,Cox Town,1400 Sq.Ft. (Built-up Area),"50,000",Semi-Furnished,3,3,1,Community View,4,1,Study Room,Other,Immediately,7-May,4,4,Connected,,300000,no,no
3008,Rent,Commercial,Office Space,Bangalore,Banaswadi,3000 Sq.Ft. (Built-up Area),2 L,Furnished,,,1,,,,,Other,,10+,,,Individual,1,2000000,no,yes
3009,Rent,Commercial,Co-working Space,Bangalore,Siddapura,20000 Sq.Ft. (Built-up Area),"7,500",Furnished,,,,,3,,,,,0-1,,,,,,yes,no
3010,Rent,Residential,Apartment,Bangalore,Hennur,2400 Sq.Ft. (Built-up Area),"30,000",Semi-Furnished,3,3,1,,,,,Other,,,,,,,180000,no,no
3011,Rent,Commercial,Warehouse,Bangalore,Peenya Industrial Area,24000 Sq.Ft. (Built-up Area),4.8 L,,,,,,,,,Other,,,,,,,5000000,no,yes
3012,Rent,Residential,Villa,Bangalore,Chansandra,3155 Sq.Ft. (Built-up Area),1.2 L,Semi-Furnished,4,5,2,Community View,,,"Servant Room,Extra Room",Other,Immediately,4-Feb,,2,Connected,1,1000000,no,no
3013,Rent,Residential,Apartment,Bangalore,Cooke Town,1650 Sq.Ft. (Built-up Area),"55,000",Semi-Furnished,3,3,1,,3,1,,Other,Immediately,0-1,3,3,Individual,1,500000,no,no
3014,Rent,Residential,Builder Floor,Bangalore,Hsr Layout,650 Sq.Ft. (Built-up Area),"28,000",Semi-Furnished,1,1,1,,3rd,,,Other,Immediately,4-Feb,,,,,100000,no,no
3015,Rent,Commercial,Office Space,Bangalore,Residency Road,450 Sq.Ft. (Built-up Area),"45,000",Furnished,,,,,3,,,Other,,10+,,,Room-attached,,450000,no,no
3016,Rent,Residential,Apartment,Bangalore,Electronic City,742 Sq.Ft. (Carpet Area),"30,000",Semi-Furnished,2,2,1,Garden View,2,A,Extra Room,Other,Immediately,4-Feb,202,4,Room-attached,,105000,no,no
3017,Rent,Commercial,Shop,Bangalore,Sarjapur Road,813 Sq.Ft. (Built-up Area),"60,000",Unfurnished,,,,,Ground,,,Other,,0-1,22,,,,300000,no,no
3018,Rent,Commercial,Office Space,Bangalore,Whitefield,35000 Sq.Ft. (Built-up Area),16 L,Furnished,,,6+,,,,,Other,,,,,,,10,no,no
3019,Rent,Residential,Builder Floor,Bangalore,New Thippasandra,1300 Sq.Ft. (Built-up Area),"50,000",Semi-Furnished,2,2,1,Garden View,3,,,Other,Immediately,0-1,,,Connected,,300000,no,no
3020,Rent,Commercial,Office Space,Bangalore,St Marks Road,1350 Sq.Ft. (Built-up Area),1.1 L,Furnished,,,1,Road View,3,,,Other,,10-Aug,,,Connected,1,1000000,no,no
3021,Rent,Residential,Apartment,Bangalore,Kanakapura Road,1745 Sq.Ft. (Saleable Area),"35,000",Semi-Furnished,3,3,2,Garden View,8,,"Pooja Room,Study Room",Other,Immediately,4-Feb,,12,Room-attached,,150000,no,no
3022,Rent,Residential,Penthouse,Bangalore,Arekere,1900 Sq.Ft. (Built-up Area),"50,000",Semi-Furnished,3,3,2,Park View,3,M,Extra Room,Other,Immediately,10-Aug,302,4,Connected,,300000,no,no
3023,Rent,Residential,Apartment,Bangalore,Kothanur,1200 Sq.Ft. (Built-up Area),"20,000",Semi-Furnished,2,2,1,,,,,,Immediately,4-Feb,,,Connected,,,no,no
3024,Rent,Residential,Independent House,Bangalore,Jeevan Bima Nagar,805 Sq.Ft. (Built-up Area),"16,000",Semi-Furnished,2,2,,,,,,Other,Immediately,10-Aug,,,,,80000,no,no
3025,Rent,Commercial,Office Space,Bangalore,Brigade Road,2000 Sq.Ft. (Built-up Area),2.38 L,Furnished,,,2,Road View,2,,,Other,,4-Feb,23,,,3,"714,000",no,no
3026,Rent,Residential,Apartment,Bangalore,Vidyaranyapura,1980 Sq.Ft. (Built-up Area),"50,000",Semi-Furnished,3.5,3,,,5,,,,,,,12,Room-attached,,,no,yes
3027,Rent,Residential,Villa,Bangalore,Kalyan Nagar,2600 Sq.Ft. (Built-up Area),"45,000",Semi-Furnished,4,4,1,Garden View,,D,Extra Room,Other,Immediately,4-Feb,1,1,Room-attached,,250000,no,no
3028,Rent,Residential,Independent House,Bangalore,Malleswaram,900 Sq.Ft. (Built-up Area),"16,500",Semi-Furnished,1,1,,Park View,,,Pooja Room,Other,Immediately,7-May,1,4,Room-attached,,100000,no,yes
3029,Rent,Commercial,Office Space,Bangalore,Race Course Road,36000 Sq.Ft. (Built-up Area),25.2 L,Unfurnished,,,6+,,,,,,,10+,,,,,,no,no
3030,Rent,Residential,Builder Floor,Bangalore,Hsr Layout,600 Sq.Ft. (Built-up Area),"28,000",Semi-Furnished,1,1,1,,2nd,,,Other,Immediately,4-Feb,,,Connected,,100000,no,no
